id;GrammarPoint;GrammarMeaning;Level
205;やすい;"easy to; likely to; prone to; have a tendency to ~";N4
206;やっと;"at last; finally; barely; narrowly ~";N4
207;より;"than; rather than; more than ~";N4
208;予定だ（よていだ）;plan to, intend to;N4
209;ようだ;"appears; seems; looks as if ~";N4
210;ように / ような;"like; as; similar to ~";N4
211;ようになる;"to reach the point that; to come to be that; to turn into ~";N4
212;ようにする;"to try to; to make sure that ~";N4
213;ようと思う（ようとおもう）;"thinking of doing; planning to ~";N4
214;ぜひ;"by all means; certainly; definitely ~";N4
215;全然～ない（ぜんぜん～ない）;(not) at all;N4
216;づらい;difficult to do ~;N4
217;上げる（あげる）;to finish doing ~;N3
218;あまり;so much… that;N3
219;あまりにも;"too much; so much… that; excessively ~";N3
220;合う（あう）;do something together;N3
221;ばいい;"should; can; it’d be good if ~";N3
222;ばよかった;"should have; would have been better if ~";N3
223;ば～ほど;the more… the more ~;N3
224;ば～のに;"would have; should have; if only ~";N3
225;ばかりで;"only; just ~ (negative description)";N3
226;ばかりでなく;"not only... but also; as well as ~";N3
227;べきだ;"should do; must do ~";N3
228;べきではない;"should not do; must not do ~";N3
229;別に～ない（べつに～ない）;not really, not particularly;N3
230;ぶりに;for the first time in (period of time);N3
231;中（ちゅう）;"currently; during; at some point; throughout; before the end of ~";N3
232;だけ;as much as ~;N3
233;だけでなく;not only… but also ~;N3
234;だけど;"but; however; although; regarding ~";N3
235;だらけ;"full of; covered with; a lot of (something undesirable)";N3
236;どんなに～ても;no matter how (much);N3
237;どうしても;"no matter what; at any cost; after all ~";N3
238;ふりをする;"to pretend; to act as if ~";N3
239;ふと;"suddenly; accidentally; unexpectedly; unintentionally ~";N3
240;がち;"tend to; tendency to; frequently; often; to do something easily";N3
241;がたい;"very difficult to; hard to ~";N3
242;気味（ぎみ）;"-like; -looking; -looked; tending to ~";N3
243;ごとに;"each; every; at intervals of ~";N3
244;ほど;"degree; extent; bounds; upper limit";N3
245;ほど～ない;is not as… as ~;N3
246;一度に（いちどに）;all at once;N3
247;いくら～ても;no matter how ~;N3
248;一方だ（いっぽうだ）;"more and more; continue to ~";N3
249;一体（いったい）;"emphasis; what on earth; what in the world";N3
250;じゃない;"maybe; most likely; confirmation of information; express surprise towards listener";N3
251;か何か（かなにか）;or something ~;N3
252;かける;"half-; not yet finished; in the middle of~";N3
253;から〜にかけて;"through; from [A] to [B]";N3
254;代わりに（かわりに）;"instead of; as a substitute for​; in exchange for; in return for";N3
255;結果（けっか）;"as a result of; after ~";N3
256;結局（けっきょく）;"after all; eventually; in the end ~";N3
257;決して～ない（けっして～ない）;"never; by no means ~";N3
258;切れない（きれない）;"unable to do; too much to finish/complete";N3
259;きり;"only; just; since; after ~";N3
260;切る（きる）;to do something completely to the end;N3
261;っけ;a casual suffix to confirm something you are trying to remember;N3
262;込む（こむ）;to do something for a long time or to move something inside;N3
263;こそ;"for sure (emphasize preceding word); precisely; definitely ~";N3
264;こと;(must) do;N3
265;ことから;from the fact that ~;N3
266;ことになっている;expresses a standard, rule or expectation;N3
267;ことはない;"there is no need to; (something) never happens; there is no possibility that ~";N3
268;ことは～が;"although; but ~";N3
269;くらい / ぐらい;"approximately; about; around; to the extent ~";N3
270;くせに;"and yet; though; in spite of; despite ~";N3
271;まるで;"as if; as though; just like ~";N3
272;まさか;"there's no way; that's impossible; you must be joking";N3
273;めったに～ない;"hardly; rarely; seldom";N3
274;も～ば～も;"and; also; as well; either/or; neither/nor";N3
275;もしかしたら;"perhaps; maybe; perchance; by any chance ~";N3
276;もしも〜たら;"if; in the case; supposing ~";N3
277;向け（むけ）;"intended for; aimed at ~";N3
278;向き（むき）;suitable for ~;N3
279;むしろ;"rather; instead; better ~";N3
280;ながらも;"but; although; despite ~";N3
281;ないことはない;"can do; is not impossible to ~";N3
282;ないと;"must do; unless/if you don't ~";N3
283;なかなか;"very; quite; pretty; rather; just not ~";N3
284;なんか / なんて / など;"give examples; show modesty; make light of ~";N3
285;直す（なおす）;"to do something again; to do over";N3
286;なるべく;as much as possible;N3
287;なぜなら;"because; the reason is; if you want to know why";N3
288;んだって;"I hear that; heard that ~";N3
289;に違いない（にちがいない）;"I’m sure/ certain; no doubt that ~";N3
290;に反して（にはんして）;"against; contrary to; in contrast to ~";N3
291;にかけて;"over (a period); through; concerning; regarding ~";N3
292;に関する / に関して（にかんする / にかんして）;"about; regarding; related to ~";N3
293;にかわって / にかわり;"instead of; replacing; on behalf of ~";N3
294;に比べて（にくらべて）;"compared to; in comparison to ~";N3
295;に慣れる（になれる）;to be used to something;N3
296;において / における;"in; at (place); regarding; as for; in relation to ~";N3
297;にしたがって;"as; therefore; in accordance with; according to; consequently ~";N3
298;にしても;"even if; even though; regardless of ~";N3
299;にしては;"for; considering it’s (something or someone)";N3
300;に対して（にたいして）;"towards; against; regarding; in contrast with​ ~";N3
301;にとって;"to; for; concerning; as far as ... is concerned; regarding ~";N3
302;について;"concerning; regarding; about; on ~";N3
303;につれて;"as; in proportion to; with; as… then ~";N3
304;には;"for the purpose of; in order to ~";N3
305;によると /によれば;according to ~;N3
306;によって / による;"by means of; due to; owing to; because of ~";N3
307;のでしょうか;ask a question in a polite way;N3
308;を中心に（をちゅうしんに）;"focused on; centered on";N3
309;をはじめ;"for example; starting with ~";N3
310;を込めて（をこめて）;"filled with; full of";N3
311;を通じて / を通して（をつうじて / をとおして）;"through; via; throughout; by ~";N3
312;おかげで;"thanks to; owing to; because of ~";N3
313;っぱなし;"leaving (something) on; leaving (something) still in use​";N3
314;っぽい;"seems like; somewhat; -ish; easily does; often does ~";N3
315;さえ;"even; so much as; not even";N3
316;さえ～ば;"if only; as long as ~";N3
317;際に（さいに）;"when; at the time of; in the case of ~";N3
318;最中に（さいちゅうに）;"while; during; in the middle of ~";N3
319;さらに;"furthermore; again; more and more ~";N3
320;さて;"conjunction: well; now; then ~";N3
321;せいで;"because of; due to; as a result of ~";N3
322;せいぜい;"at the most; at best; to the utmost";N3
323;しばらく;"for a moment; for a while; for the time being";N3
324;しかない;have no choice but ~;N3
325;そのために;"hence; for that reason; because of ~";N3
326;それとも;"or; or else ~";N3
327;そうもない /そうにない;"very unlikely to; showing no signs of ~";N3
328;すでに;"something has already been done/taken place; is already the case";N3
329;すなわち;"in other words; namely ~";N3
330;数量 + は（すうりょう + は）;at least ~;N3
331;たものだ;"used to do; would often do";N3
332;たとたん;"as soon as; just as ~";N3
333;たびに;"whenever; every time ~";N3
334;ために;"for; in order to; for the benefit of; because of; as a result of ~";N3
335;確かに（たしかに）;surely, certainly ~;N3
336;たて;"just done; freshly done; newly done";N3
337;たとえ～ても;even if… is the case;N3
338;例えば（たとえば）;"for example; for instance ~";N3
339;たって;"even if; even though; no matter how ~";N3
340;てばかりいる;"only; nothing but ~";N3
341;てごらん;"(please) try to; (please) look";N3
342;てはじめて;"not until; only after [x] did I";N3
343;てからでないと;"must first do; cannot do without first doing ~";N3
344;てしょうがない・てしかたがない;"can't help but; very; extremely ~";N3
345;て済む（てすむ）;"sufficient by; no problem to; resolve by ~";N3
346;てはいけないから;"in order to not~; to prevent a negative situation";N3
347;ている場合じゃない（ているばあいじゃない）;this is no time to be doing ~;N3
348;的（てき）;change noun into na-adjective or adverb;N3
349;ても始まらない（てもはじまらない）;"even if you... it’s no use; there is no point to ~";N3
350;ても構わない（てもかまわない）;it doesn't matter if ~;N3
351;てもしょうがない / てもしかたがない;"there's no point to~; it's no use to~; it cannot be helped";N3
352;と言えば（といえば）;"speaking of; when you talk of; when you say; if it were the case that ~";N3
353;といい / たらいい;"it would be nice if; should; I hope ~";N3
354;といっても;"although I say; although one might say ~";N3
355;ということだ;"I heard; it means that; in other words ~";N3
356;というのは;"this means; the meaning of … is; because; that is to say ~";N3
357;と言うと（というと）;"speaking of; when you talk of; when you say ~";N3
358;というより;rather than ~;N3
359;とみえる / とみえて;it seems that ~;N3
360;とすれば・としたら・とすると;"in the case of~; assuming~; if A then B";N3
361;と共に（とともに）;"together with; at the same time as; as well as ~";N3
362;途中で/途中に（とちゅうで/とちゅうに）;"on the way; in the middle of ~";N3
363;ところで;by the way ~;N3
364;ところが;"even so; however; even though ~";N3
365;とおりに;"in the same way as; in the way; as ~";N3
366;通す（とおす）;"to do until the end; to continually do; through ~";N3
367;として;"as; in the role of ~";N3
368;とても～ない;"cannot possibly be; hardly ~";N3
369;とは限らない（とはかぎらない）;"not necessarily so; is not always true";N3
370;つい;"accidentally; unintentionally; by mistake";N3
371;ついに;"finally; at last; in the end ~";N3
372;ついでに;while, incidentally, at the same time, on the way ~;N3
373;つまり;"in other words; in summary; in short ~";N3
374;つもりだった;"I thought I~; I believe I~; was planning to~; was intending to ~";N3
375;つもりで;with the intention of doing ~;N3
376;うちに;"while; before ~";N3
377;上で（うえで）;"upon; after; when; for; in order to";N3
378;上に（うえに）;"as well; besides; in addition to; not only… but also ~";N3
379;は別として（はべつとして）;"aside from; apart from; except for; whether or not ~";N3
380;はもちろん;"not to mention; not only ... but also ~";N3
381;は～で有名（は～でゆうめい）;famous for ~;N3
382;わけだ;"for that reason; no wonder; as you’d expect; the fact is; so you mean ~";N3
383;わけではない;"it doesn’t mean that; it is not the case that; I don’t mean that; it is not true that ~";N3
384;わけがない;"there is no way that; it is impossible to ~";N3
385;わけにはいかない;"must not; cannot afford to; must, have no choice but to ~";N3
386;割に（わりに）;"considering ~; for ~; despite ~";N3
387;わざと;"on purpose; intentionally ~";N3
388;わざわざ;"to go to the trouble of; to go out of one's way to ~";N3
389;よりも;"in comparison to; rather than; more than ~";N3
390;ようがない;"there is no way to; it’s impossible to ~";N3
391;ような気がする（ようなきがする）;"have a feeling that; feels like; seems like; think that ~";N3
392;ように;in order to, so that ~;N3
393;ように見える（ようにみえる）;"to look; to seem; to appear ~";N3
394;ようとしない;"not try to; not make an effort to ~";N3
395;ようとする;"try to; attempt to; be about to ~";N3
396;ずに;without doing ~;N3
397;ずにはいられない;"can’t help but feel; can’t help but do; must do ~";N3
398;ずつ;"apiece; each; at a time";N3
399;あげく;"to end up; in the end; finally; after all ~";N2
400;あるいは;"or; either; maybe; perhaps; possibly ~";N2
401;ばかり;about, approximately ~;N2
402;ばかりだ;continue to (go in negative direction);N2
403;ばかりか;"not only... but also; as well as ~";N2
404;ばかりに;"simply because; on account of~ (negative result)";N2
405;ちなみに;"by the way; in this connection; incidentally; (conjunction)";N2
406;ちっとも～ない;"(not) at all; (not) in the least ~";N2
407;だけあって;"being the case; precisely because; as expected from ~";N2
408;だけましだ;"it’s better than; one should feel grateful for ~";N2
409;だけに;"being the case; precisely because; as one would expect";N2
410;だけのことはある;"no wonder; as expected of; not ... for nothing; not ... with nothing to show for it";N2
411;だけは;to do all that one can;N2
412;だって;"because; but; after all; even; too";N2
413;でしかない;"merely; nothing but; no more than; there is only ~";N2
414;どころではない;"not the time for; not the place for; far from; anything but ~";N2
415;どころか;"far from; anything but; let alone; not to mention; much less ~";N2
416;どうやら;"possibly; apparently; seems like; somehow; barely ~";N2
417;どうせ;"anyhow; in any case; at any rate; after all; no matter what";N2
418;得ない（えない）;"unable to; cannot; it is not possible to ~";N2
419;得る（える / うる）;"can; to be able to; is possible to ~";N2
420;再び（ふたたび）;"again; once more";N2
421;ふうに;"this way; that way; in such a way; how";N2
422;がきっかけで / をきっかけに;"with… as a start; as a result of; taking advantage of ~";N2
423;げ;"looks like; seems like; appears to ~";N2
424;逆に（ぎゃくに）;"conversely; on the contrary ~";N2
425;反面（はんめん）;"while, although; on the other hand~";N2
426;果たして（はたして）;"as was expected; sure enough; really; actually ~";N2
427;一応（いちおう）;"more or less; pretty much; roughly; tentatively ~";N2
428;以外（いがい）;"with the exception of; excepting ~";N2
429;以上に（いじょうに）;"more than; not less than; beyond ~";N2
430;以上は（いじょうは）;"because; since; seeing that ~";N2
431;いきなり;"abruptly; suddenly; all of a sudden; without warning";N2
432;一気に（いっきに）;"in one go; without stopping; all at once; immediately; instantly; right away ~";N2
433;一方で（いっぽうで）;"on one hand, on the other hand; although ~";N2
434;いわゆる;"what is called; as it is called; the so-called; so to speak​";N2
435;いよいよ;"at last; finally; beyond doubt";N2
436;上（じょう）;"for the sake of; from the standpoint of; as a matter of; in terms of ~";N2
437;かのように;"as if; just like ~";N2
438;かと思ったら（かとおもったら）;"just when; no sooner than ~";N2
439;か～ないかのうちに;"just as; right after; as soon as ~";N2
440;かえって;"on the contrary; rather; all the more; surprisingly ~";N2
441;限り（かぎり）;"as long as; while… is the case; as far as; while ~";N2
442;甲斐がある（かいがある）;it’s worth one’s efforts to do something;N2
443;かねない;"(someone) might do something; something might happen";N2
444;かねる;"unable to do something; can’t do something";N2
445;から言うと（からいうと）;"in terms of; from the point of view of ~";N2
446;からこそ;precisely because ~;N2
447;から見ると（からみると）;"from the point of view of; by the look of; judging from ~";N2
448;からには;"now that; since; so long as; because ~";N2
449;からして;"judging from; based on; since; from; even ~";N2
450;からすると / からすれば;"judging from; considering; by the look of ~";N2
451;からと言って（からといって）;"just because; even if; even though ~";N2
452;っこない;"no chance of; … is definitely not possible";N2
453;ことだ;should do~ (used for suggestions or giving advice);N2
454;ことだから;"because; since ~";N2
455;ことか;"how…!; what…!";N2
456;ことなく;without doing something even once;N2
457;ことに;"emphasize speaker's feelings; to my (surprise/etc)";N2
458;ことにはならない;just because… doesn’t mean ~;N2
459;くせして;"although; despite the fact that; even though ~";N2
460;まだしも;"rather; better​ ~";N2
461;まい;"will not; will probably not; intend not to; must not ~";N2
462;ままに;as, to do as ~;N2
463;全く～ない（まったく～ない）;not at all ~;N2
464;もかまわず;"without caring; without worrying about ~";N2
465;も当然だ（もとうぜんだ）;"it’s only natural; no wonder; might as well ~";N2
466;もの / もん;"because; indicates reason/ excuse/ dissatisfaction";N2
467;ものだ;"describe feeling; express memories; state fact";N2
468;ものだから;"so; therefore; the reason for something";N2
469;ものではない;"shouldn’t do something; it’s impossible to ~";N2
470;ものがある;"there is such a thing; to be the case that​; feels like ~";N2
471;ものか / もんか;"as if (something untrue were actually true); there's no way ~";N2
472;ものなら;"if I/we could; if [A] is possible, then [B]; if one can do something, then ~";N2
473;ものの;"but; although; even though ~";N2
474;もっとも;"but then; although; though ~";N2
475;もう少しで（もうすこしで）;"almost; nearly, close to ~";N2
476;ないではいられない;"can’t help but feel; can’t help but do ~";N2
477;ないことには～ない;unless you ~;N2
478;中を / 中では（なかを / なかでは）;"in; on; in the midst of; when; while ~";N2
479;なくはない / なくもない;"it’s not that; I may (double negative)";N2
480;なくて済む（なくてすむ）;get by without doing ~;N2
481;何も～ない（なにも～ない）;"nothing; (not) ~ at all; there’s no need to ~";N2
482;なお;"still; yet​; furthermore; in addition ~";N2
483;ねばならない;"have to do; must; should ~";N2
484;にあたって;"at the time; on the occasion of ~";N2
485;にほかならない;"nothing but; none other than ~";N2
486;に限らず（にかぎらず）;"not just; not only... but also ~";N2
487;に限る（にかぎる）;"is best; nothing is better than ~";N2
488;に限って（にかぎって）;"only; in particular ~";N2
489;に関わらず（にかかわらず）;"in spite of; regardless of ~";N2
490;に関わる（にかかわる）;"to relate to; to have to do with; relating to ~";N2
491;に決まっている（にきまっている）;"certainly; I’m sure/certain that; it must be the case that ~";N2
492;に越したことはない（にこしたことはない）;it’s best that, there’s nothing better than ~;N2
493;に応えて（にこたえて）;in response to ~;N2
494;に加えて（にくわえて）;in addition ~;N2
495;に基づいて（にもとづいて）;"based on; on the basis of ~";N2
496;に向かって（にむかって）;"to face; to go towards; to head to ~";N2
497;に応じて（におうじて）;"depending on; in accordance with ~";N2
498;に際して（にさいして）;"on the occasion of; at the time of ~";N2
499;に先立ち（にさきだち）;"before; prior to ~";N2
500;にせよ/ にしろ;"even if; regardless; whether... or ~";N2
501;にしろ～にしろ;whether… or ~;N2
502;にしたら / にすれば;"from one’s perspective; from the point of view of ~";N2
503;にしても～にしても;regardless of whether ~;N2
504;に沿って（にそって）;"along with; in accordance with ~";N2
505;に相違ない（にそういない）;"without a doubt; certain; sure";N2
506;に過ぎない（にすぎない）;"no more than; just; merely; only ~";N2
507;に伴って（にともなって）;"as; due to; with; along with; following; accordingly ~";N2
508;につけ;"every time; whenever; as; whether; in (either case)​";N2
509;につき;"due to; because of; per; each";N2
510;にわたって;"throughout; over a period of ~";N2
511;にも関わらず（にもかかわらず）;"despite; in spite of; nevertheless; although ~";N2
512;にて;in, at, with, by (formal particle);N2
513;のももっともだ;"no wonder; …is only natural";N2
514;の下で（のもとで）;"under; with ~";N2
515;の上では（のうえでは）;"according to; from the viewpoint of ~";N2
516;のみ;"only; nothing but​";N2
517;のみならず;"not only; besides; as well as ~";N2
518;ぬ;"negative verb conjugation; traditional version of ない";N2
519;抜きにして / 抜きで（ぬきにして/ ぬきで）;"without; leaving out; cutting out ~";N2
520;抜く（ぬく）;"to do something from beginning to end; completely, extremely ~";N2
521;を契機に（をけいきに）;"as a good opportunity/chance to; as a result of; make the best of ~";N2
522;をめぐって;"concerning; in regard to ~";N2
523;をもとに;"based on; derived from; building on; beginning with ~";N2
524;を除いて（をのぞいて）;"except; with the exception of; excluding ~";N2
525;を問わず（をとわず）;"regardless of; irrespective of; no matter";N2
526;お～願う（お～ねがう）;"please do; could you please…; I ask of you to ~";N2
527;おまけに;"to make matters worse; besides; what's more; in addition; on top of that​";N2
528;恐らく（おそらく）;"perhaps; likely; probably; I dare say ~";N2
529;恐れがある（おそれがある）;"it is feared that; to be in danger of; to be liable to ~";N2
530;及び（および）;"and; as well as ~";N2
531;ろくに～ない;"not well; not enough; improperly; insufficiently; unsatisfactorily​ ~";N2
532;幸いなことに（さいわいなことに）;"fortunately; luckily; thankfully ~";N2
533;せいか;perhaps because ~;N2
534;せっかく;"especially; (thank you for) troubling to, going to great pains for ~";N2
535;せめて;"at least; at most ~";N2
536;次第（しだい）;as soon as, dependent upon;N2
537;次第で（しだいで）;"depending on; so ~";N2
538;次第に（しだいに）;"gradually (progress into a state); in sequence; in order";N2
539;しかも;"moreover; furthermore; and yet; what’s more ~";N2
540;その上（そのうえ）;"besides; in addition; furthermore ~";N2
541;それなのに;"and yet; despite this; but even so ~";N2
542;それなら;"if that’s the case; if so ~";N2
543;それにしても;"nevertheless; at any rate; even so; be that as it may ~";N2
544;そう言えば（そういえば）;"come to think of it; now that you mention it ~";N2
545;そうすると;"having done that; if that is done; if it is done in that way";N2
546;末に（すえに）;"finally; after; following; at the end/ conclusion of ~";N2
547;少しも～ない（すこしも～ない）;"not one bit; not even a little ~";N2
548;少なくとも（すくなくとも）;at least ~;N2
549;直ちに（ただちに）;"at once; immediately; directly; in person; automatically ~";N2
550;たまえ;"do~; order somebody to do something";N2
551;てばかりはいられない;can’t keep doing ~;N2
552;てでも;"even if I have to; by all means ~";N2
553;て以来（ていらい）;"since; henceforth ~";N2
554;ていては;if one keeps doing ~;N2
555;てこそ;"now that; since (something happened)";N2
556;てまで;"even; will go far so as to ~";N2
